tick,agent_id,utility,food_consumed
0,2,414,3
0,0,293,1
0,1,414,4
1,2,414,4
1,0,414,4
1,1,414,3
2,2,414,4
2,0,414,4
2,1,414,4
3,2,414,3
3,0,414,4
3,1,414,4
4,2,414,4
4,0,414,4
4,1,414,4
5,2,414,3
5,0,414,3
5,1,414,4
6,2,414,5
6,0,414,5
6,1,414,3
7,2,414,4
7,0,414,4
7,1,414,5
8,2,414,4
8,0,414,4
8,1,414,4
9,2,414,5
9,0,414,4
9,1,414,4
10,2,414,4
10,0,414,3
10,1,414,4
11,2,414,5
11,0,414,4
11,1,414,3
12,2,414,4
12,0,414,4
12,1,414,4
13,2,414,3
13,0,414,4
13,1,414,4
14,2,414,4
14,0,414,4
14,1,414,5
15,2,414,4
15,0,414,3
15,1,414,4
16,2,414,5
16,0,414,4
16,1,414,3
17,2,414,4
17,0,414,4
17,1,414,4
18,2,414,3
18,0,414,5
18,1,414,4
19,2,414,4
19,0,414,4
19,1,414,5
