tick,task_name,task_value,revenue,cost,agent_id
0,Bake,200,400,200,-1
0,Farm,80,80,0,-1
0,Bake,200,400,200,2
0,Bake,200,400,200,-1
0,Farm,80,80,0,-1
0,Bake,200,400,200,4
0,Bake,600,800,200,-1
0,Farm,8,8,0,-1
0,Bake,600,800,200,8
0,Bake,-160,40,200,-1
0,Farm,160,160,0,-1
0,Farm,160,160,0,0
0,Bake,200,400,200,-1
0,Farm,160,160,0,-1
0,Bake,200,400,200,10
0,Bake,200,400,200,-1
0,Farm,160,160,0,-1
0,Farm,160,160,0,11
0,Bake,-160,40,200,-1
0,Farm,160,160,0,-1
0,Farm,160,160,0,12
0,Bake,600,800,200,-1
0,Farm,80,80,0,-1
0,Bake,600,800,200,7
0,Bake,600,800,200,-1
0,Farm,80,80,0,-1
0,Bake,600,800,200,6
0,Bake,600,800,200,-1
0,Farm,80,80,0,-1
0,Bake,600,800,200,5
0,Bake,200,400,200,-1
0,Farm,160,160,0,-1
0,Farm,160,160,0,9
0,Bake,600,800,200,-1
0,Farm,8,8,0,-1
0,Farm,8,8,0,3
0,Bake,-160,40,200,-1
0,Farm,80,80,0,-1
0,Farm,80,80,0,14
0,Bake,200,400,200,-1
0,Farm,8,8,0,-1
0,Bake,200,400,200,1
0,Bake,600,800,200,-1
0,Farm,80,80,0,-1
0,Farm,80,80,0,13
1,Bake,-50,300,350,-1
1,Farm,140,140,0,-1
1,Farm,140,140,0,2
1,Bake,-50,300,350,-1
1,Farm,140,140,0,-1
1,Farm,140,140,0,4
1,Bake,250,600,350,-1
1,Farm,14,14,0,-1
1,Farm,14,14,0,8
1,Bake,-320,30,350,-1
1,Farm,280,280,0,-1
1,Farm,280,280,0,0
1,Bake,-50,300,350,-1
1,Farm,280,280,0,-1
1,Farm,280,280,0,10
1,Bake,-50,300,350,-1
1,Farm,280,280,0,-1
1,Farm,280,280,0,11
1,Bake,250,600,350,-1
1,Farm,140,140,0,-1
1,Bake,250,600,350,7
1,Bake,250,600,350,-1
1,Farm,140,140,0,-1
1,Farm,140,140,0,6
1,Bake,250,600,350,-1
1,Farm,140,140,0,-1
1,Farm,140,140,0,5
1,Bake,-50,300,350,-1
1,Farm,280,280,0,-1
1,Farm,280,280,0,9
1,Bake,250,600,350,-1
1,Farm,14,14,0,-1
1,Farm,14,14,0,3
1,Bake,-320,30,350,-1
1,Farm,140,140,0,-1
1,Farm,140,140,0,14
1,Bake,-50,300,350,-1
1,Farm,14,14,0,-1
1,Farm,14,14,0,1
1,Bake,250,600,350,-1
1,Farm,140,140,0,-1
1,Bake,250,600,350,13
2,Bake,-45,180,225,-1
2,Farm,90,90,0,-1
2,Farm,90,90,0,2
2,Bake,-45,180,225,-1
2,Farm,90,90,0,-1
2,Farm,90,90,0,4
2,Bake,135,360,225,-1
2,Farm,9,9,0,-1
2,Farm,9,9,0,8
2,Bake,-207,18,225,-1
2,Farm,180,180,0,-1
2,Farm,180,180,0,0
2,Bake,-45,180,225,-1
2,Farm,180,180,0,-1
2,Farm,180,180,0,10
2,Bake,-45,180,225,-1
2,Farm,180,180,0,-1
2,Farm,180,180,0,11
2,Bake,135,360,225,-1
2,Farm,90,90,0,-1
2,Farm,90,90,0,7
2,Bake,135,360,225,-1
2,Farm,90,90,0,-1
2,Farm,90,90,0,6
2,Bake,135,360,225,-1
2,Farm,90,90,0,-1
2,Bake,135,360,225,5
2,Bake,-45,180,225,-1
2,Farm,180,180,0,-1
2,Farm,180,180,0,9
2,Bake,135,360,225,-1
2,Farm,9,9,0,-1
2,Farm,9,9,0,3
2,Bake,-45,180,225,-1
2,Farm,9,9,0,-1
2,Farm,9,9,0,1
2,Bake,135,360,225,-1
2,Farm,90,90,0,-1
2,Farm,90,90,0,13
3,Bake,155,330,175,-1
3,Farm,70,70,0,-1
3,Bake,155,330,175,2
3,Bake,155,330,175,-1
3,Farm,70,70,0,-1
3,Bake,155,330,175,4
3,Bake,485,660,175,-1
3,Farm,7,7,0,-1
3,Farm,7,7,0,8
3,Bake,-142,33,175,-1
3,Farm,140,140,0,-1
3,Farm,140,140,0,0
3,Bake,155,330,175,-1
3,Farm,140,140,0,-1
3,Bake,155,330,175,10
3,Bake,155,330,175,-1
3,Farm,140,140,0,-1
3,Bake,155,330,175,11
3,Bake,485,660,175,-1
3,Farm,70,70,0,-1
3,Farm,70,70,0,7
3,Bake,485,660,175,-1
3,Farm,70,70,0,-1
3,Bake,485,660,175,6
3,Bake,485,660,175,-1
3,Farm,70,70,0,-1
3,Farm,70,70,0,5
3,Bake,155,330,175,-1
3,Farm,140,140,0,-1
3,Bake,155,330,175,9
3,Bake,485,660,175,-1
3,Farm,7,7,0,-1
3,Bake,485,660,175,3
3,Bake,155,330,175,-1
3,Farm,7,7,0,-1
3,Bake,155,330,175,1
3,Bake,485,660,175,-1
3,Farm,70,70,0,-1
3,Farm,70,70,0,13
4,Bake,25,250,225,-1
4,Farm,90,90,0,-1
4,Farm,90,90,0,2
4,Bake,25,250,225,-1
4,Farm,90,90,0,-1
4,Farm,90,90,0,4
4,Bake,275,500,225,-1
4,Farm,9,9,0,-1
4,Bake,275,500,225,8
4,Bake,-200,25,225,-1
4,Farm,180,180,0,-1
4,Farm,180,180,0,0
4,Bake,25,250,225,-1
4,Farm,180,180,0,-1
4,Farm,180,180,0,10
4,Bake,25,250,225,-1
4,Farm,180,180,0,-1
4,Farm,180,180,0,11
4,Bake,275,500,225,-1
4,Farm,90,90,0,-1
4,Bake,275,500,225,7
4,Bake,275,500,225,-1
4,Farm,90,90,0,-1
4,Bake,275,500,225,6
4,Bake,275,500,225,-1
4,Farm,90,90,0,-1
4,Bake,275,500,225,5
4,Bake,25,250,225,-1
4,Farm,180,180,0,-1
4,Farm,180,180,0,9
4,Bake,275,500,225,-1
4,Farm,9,9,0,-1
4,Farm,9,9,0,3
4,Bake,25,250,225,-1
4,Farm,9,9,0,-1
4,Bake,25,250,225,1
4,Bake,275,500,225,-1
4,Farm,90,90,0,-1
