tick,agent_id,cash,food,grain
0,2,148,12,49
0,4,282,15,49
0,8,397,26,10
0,0,322,3,39
0,10,324,16,3
0,11,346,10,43
0,12,161,1,61
0,7,271,23,36
0,6,309,23,0
0,5,486,30,15
0,9,271,10,29
0,3,105,10,23
0,14,136,2,56
0,1,426,13,40
0,13,418,6,31
1,2,148,8,59
1,4,318,10,59
1,8,469,18,15
1,0,14,7,59
1,10,309,10,28
1,11,310,7,63
1,7,383,35,11
1,6,380,14,17
1,5,587,22,26
1,9,235,7,49
1,3,69,7,24
1,14,202,1,60
1,1,466,8,41
1,13,230,27,6
2,2,148,5,69
2,4,171,10,69
2,8,529,11,16
2,0,14,4,79
2,10,162,10,48
2,11,73,10,83
2,7,914,12,21
2,6,353,10,27
2,5,674,34,1
2,9,25,10,69
2,3,69,4,25
2,1,259,10,42
2,13,527,12,16
3,2,148,13,44
3,4,171,16,44
3,8,414,10,22
3,0,39,3,94
3,10,162,16,23
3,11,118,16,49
3,7,827,11,34
3,6,307,28,4
3,5,958,14,13
3,9,25,16,44
3,3,69,23,0
3,1,200,19,18
3,13,480,10,27
4,2,132,10,50
4,4,244,10,50
4,8,247,30,1
4,0,279,2,84
4,10,142,11,45
4,11,216,10,62
4,7,713,30,11
4,6,293,36,0
4,5,816,30,0
4,9,128,10,57
4,3,209,13,1
4,1,186,22,0
4,13,313,30,6
5,2,163,20,14
5,4,135,25,12
5,8,158,38,0
5,0,516,3,72
5,10,148,12,53
5,11,205,14,60
5,7,730,38,0
5,6,337,38,0
5,5,734,38,0
5,9,230,9,60
5,3,75,14,2
5,1,194,17,1
5,13,293,38,0
6,2,125,17,24
6,4,198,17,22
6,8,398,21,1
6,0,123,17,92
6,10,1,14,73
6,11,43,17,80
6,7,936,23,10
6,6,564,22,10
6,5,900,25,10
6,9,20,14,80
6,3,75,10,3
6,1,95,17,2
6,13,440,26,10
7,2,66,25,0
7,4,147,24,0
7,8,278,36,0
7,0,243,12,88
7,10,86,10,76
7,11,168,12,75
7,7,861,38,0
7,6,489,37,0
7,5,861,38,0
7,9,130,10,78
7,3,75,6,4
7,1,95,12,3
7,13,419,38,0
8,2,108,18,10
8,4,78,18,28
8,8,247,27,24
8,0,229,17,70
8,10,216,6,70
8,11,146,14,70
8,7,806,31,29
8,6,430,31,26
8,5,817,30,31
8,9,270,6,70
8,3,75,3,5
8,1,95,8,4
8,13,401,29,30
9,2,28,18,20
9,4,78,23,3
9,8,275,40,0
9,0,127,20,84
9,10,236,13,40
9,11,34,28,37
9,7,902,40,4
9,6,508,41,1
9,5,897,40,6
9,9,282,13,42
9,3,75,2,6
9,1,11,15,0
9,13,465,40,5
10,2,28,13,30
10,4,35,21,13
10,8,378,28,2
10,0,59,21,94
10,10,43,21,60
10,11,49,22,57
10,7,999,28,17
10,6,656,26,12
10,5,953,31,18
10,9,87,21,63
10,3,75,1,7
10,1,11,10,1
10,13,545,29,17
11,2,28,19,5
11,4,35,16,23
11,8,378,23,3
11,0,59,16,114
11,10,43,26,35
11,11,49,27,32
11,7,999,23,27
11,6,656,21,22
11,5,986,23,28
11,9,43,30,38
11,1,11,6,2
11,13,556,23,27
12,2,28,14,15
12,4,35,11,33
12,8,337,19,13
12,0,119,14,94
12,10,63,20,55
12,11,63,21,52
12,7,990,38,7
12,6,610,38,3
12,5,965,38,12
12,9,87,21,62
12,1,11,3,3
12,13,535,38,9
13,2,28,10,25
13,4,35,7,43
13,8,223,23,14
13,0,119,10,114
13,10,15,18,75
13,11,31,18,72
13,7,1058,28,17
13,6,678,28,13
13,5,1027,28,22
13,9,5,23,82
13,1,11,2,4
13,13,613,27,19
14,2,28,16,0
14,4,35,14,18
14,8,190,38,0
14,0,182,6,113
14,10,30,23,45
14,11,43,23,43
14,7,1034,43,0
14,6,642,43,0
14,5,1018,43,0
14,9,35,28,47
14,1,11,1,5
14,13,595,42,0
15,2,28,11,10
15,4,35,10,28
15,8,204,31,9
15,0,260,3,94
15,10,0,20,65
15,11,13,20,63
15,7,1014,38,20
15,6,634,38,14
15,5,1023,37,15
15,9,35,23,67
15,13,586,36,22
16,2,28,7,20
16,4,35,6,38
16,8,213,25,10
16,0,17,25,114
16,10,0,15,85
16,11,13,15,83
16,7,1077,26,30
16,6,706,25,24
16,5,1068,27,25
16,9,35,18,87
16,13,640,25,32
17,2,28,4,30
17,4,19,13,21
17,8,175,40,4
17,0,97,20,94
17,10,22,20,49
17,11,31,20,49
17,7,1057,41,15
17,6,678,40,13
17,5,1044,42,12
17,9,61,23,49
17,13,620,40,17
18,2,28,3,40
18,4,19,9,31
18,8,178,34,10
18,0,47,22,94
18,10,22,15,69
18,11,31,15,69
18,7,1090,33,28
18,6,722,31,26
18,5,1077,34,25
18,9,10,22,69
18,13,608,35,33
19,2,28,12,15
19,4,19,16,6
19,8,163,49,0
19,0,62,18,54
19,10,22,20,44
