tick,good,new_price,old_price,unexecuted,volume
0,Food,31,25,79,79
0,Grain,6,5,349,356
0,Food,40,31,47,47
0,Grain,8,6,294,294
1,Food,36,40,-71,78
1,Grain,11,8,240,240
1,Food,30,36,-54,63
1,Grain,14,11,57,74
2,Food,27,30,-14,42
2,Grain,12,14,-531,531
2,Food,18,27,-9,14
2,Grain,9,12,-531,531
3,Food,24,18,49,60
3,Grain,5,9,-578,578
3,Food,33,24,20,24
3,Grain,7,5,165,179
4,Food,28,33,-60,62
4,Grain,10,7,180,200
4,Food,25,28,-12,27
4,Grain,9,10,-116,156
5,Food,17,25,-52,70
5,Grain,8,9,-91,198
5,Food,21,17,55,79
5,Grain,5,8,-380,380
6,Food,19,21,-62,102
6,Grain,7,5,200,200
6,Food,15,19,-27,38
6,Grain,6,7,-150,150
7,Food,18,15,33,33
7,Grain,5,6,-225,225
7,Food,21,18,16,21
7,Grain,5,5,-37,125
8,Food,19,21,-89,103
8,Grain,5,5,229,250
8,Food,16,19,-58,61
8,Grain,6,5,33,129
9,Food,15,16,-3,23
9,Grain,4,6,-199,199
9,Food,15,15,0,2
9,Grain,2,4,-58,80
10,Food,13,15,-42,73
10,Grain,3,2,410,420
10,Food,8,13,-32,36
10,Grain,5,3,255,255
11,Food,11,8,18,18
11,Grain,4,5,-404,404
11,Food,14,11,5,9
11,Grain,3,4,-179,179
12,Food,20,14,12,17
12,Grain,3,3,115,155
12,Food,16,20,-17,20
12,Grain,6,3,227,227
13,Food,10,16,-41,52
13,Grain,5,6,-171,171
13,Food,4,10,-11,21
13,Grain,4,5,-370,370
14,Food,10,4,60,60
14,Grain,3,4,-512,512
14,Food,19,10,6,6
14,Grain,2,3,-103,143
15,Food,15,19,-99,99
15,Grain,3,2,331,370
15,Food,9,15,-77,81
15,Grain,5,3,226,226
16,Food,8,9,-3,30
16,Grain,4,5,-418,418
16,Food,8,8,0,0
16,Grain,3,4,-418,418
17,Food,10,8,22,22
17,Grain,2,3,-294,294
17,Food,13,10,12,12
17,Grain,2,2,68,141
18,Food,12,13,-59,68
18,Grain,6,2,314,334
18,Food,10,12,-52,54
18,Grain,4,6,-364,364
19,Food,7,10,-17,17
19,Grain,1,4,-234,234
19,Food,3,7,-7,8
19,Grain,0,1,-5,20
20,Food,0,3,-50,67
20,Grain,2,0,142,142
20,Food,2,0,136,136
20,Grain,1,2,-230,230
21,Food,1,2,-10,15
21,Grain,0,1,-371,371
21,Food,2,1,44,44
21,Grain,0,0,0,0
22,Food,4,2,21,21
22,Grain,0,0,0,0
22,Food,6,4,2,3
22,Grain,0,0,59,59
23,Food,6,6,-4,17
23,Grain,2,0,648,648
23,Food,0,6,-4,4
23,Grain,1,2,-19,19
24,Food,3,0,239,239
24,Grain,0,1,-329,329
24,Food,8,3,35,35
24,Grain,1,0,52,52
25,Food,6,8,-19,30
25,Grain,3,1,193,193
25,Food,2,6,-12,16
25,Grain,2,3,-230,230
26,Food,5,2,40,40
26,Grain,1,2,-371,371
26,Food,10,5,15,15
26,Grain,1,1,9,19
27,Food,8,10,-56,65
27,Grain,5,1,321,341
27,Food,5,8,-48,48
27,Grain,3,5,-167,167
28,Food,1,5,-20,20
28,Grain,0,3,-308,308
28,Food,3,1,29,29
28,Grain,0,0,0,0
29,Food,5,3,4,5
29,Grain,0,0,29,29
29,Food,4,5,-2,2
29,Grain,2,0,467,467
30,Food,3,4,-17,28
30,Grain,1,2,-414,414
30,Food,1,3,-15,17
30,Grain,0,1,-209,209
31,Food,2,1,26,38
31,Grain,0,0,0,0
31,Food,2,2,-8,15
31,Grain,0,0,0,0
32,Food,2,2,3,6
32,Grain,0,0,0,0
32,Food,6,2,3,3
32,Grain,0,0,0,0
33,Food,5,6,-10,15
33,Grain,0,0,579,579
33,Food,4,5,-5,9
33,Grain,2,0,579,579
34,Food,1,4,-39,39
34,Grain,1,2,-293,293
34,Food,1,1,0,12
34,Grain,0,1,-293,293
35,Food,1,1,22,22
35,Grain,0,0,0,0
35,Food,3,1,22,22
35,Grain,0,0,0,0
36,Food,3,3,-1,12
36,Grain,0,0,111,111
36,Food,0,3,-1,1
36,Grain,2,0,111,111
37,Food,2,0,232,232
37,Grain,1,2,-281,281
37,Food,5,2,24,24
37,Grain,0,1,-281,281
38,Food,4,5,-44,44
38,Grain,1,0,533,533
38,Food,3,4,-32,40
38,Grain,1,1,-57,57
39,Food,1,3,-12,12
39,Grain,0,1,-124,124
39,Food,1,1,0,0
39,Grain,0,0,0,0
40,Food,1,1,28,36
40,Grain,0,0,0,0
40,Food,4,1,28,28
